127.0.0.1 - - [12/Nov/2016:17:24:46 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:24:49 +0530] "GET /SmartHealthweb/ HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:25:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:25:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:25:21 +0530] "GET /SmartHealthweb/ HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:25:31 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 9949
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:25:31 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:25:37 +0530] "GET /SmartHealthweb/CreateForum HTTP/1.1" 200 4917
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:25:41 +0530] "GET /SmartHealthweb/GetAllForum HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:28:25 +0530] "GET /SmartHealthweb/ HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:28:32 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:28:32 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:20 +0530] "GET /SmartHealthweb/ViewFriends HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:30 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 10021
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:30 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:41 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:41 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:46 +0530] "POST /SmartHealthweb/loginservlet HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:47 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:50 +0530] "GET /SmartHealthweb/GetAllForum HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:51 +0530] "GET /SmartHealthweb/homeservlet HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:34:52 +0530] "GET /SmartHealthweb/style3.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:07 +0530] "GET /SmartHealthweb/logoutservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2016:17:39:07 +0530] "GET /SmartHealthweb/firstpage.jsp HTTP/1.1" 200 18145
